,page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
0,-7,"The AdTech Book  The platforms, processes, and players that make  up the digital advertising industry  From the first-ever ad servers, to real-time bidding (RTB), through to header  bidding. The AdTech Book provides a detailed overview of the entire digital  advertising industry from the very beginning right through to today. Updated February 2022",349,57,87.25
1,-6,"Whether you work in online advertising, build advertising technology, or simply want to learn more about the  engines that power the Internet, The AdTech Book provides you with the answers to all the questions that  you’ve ever had about online advertising. Here’s a brief overview of what you’ll learn by reading this book:  ● Discover the history behind the digital advertising industry and how it has evolved over the past 20+  years. ● Learn about the role each technological platform plays in the digital ecosystem and how they work. ● Understand how the various processes work behind the scenes to serve ads to online visitors. ● Identify the role data plays in online advertising, including how it is collected and utilized by advertisers  and publishers.",762,130,190.5
2,-6,"● Learn about the terminology and acronyms used in digital advertising. ● Educate yourself about the challenges facing the digital advertising ecosystem, including ad fraud, ad  blockers, ad viewability, and transparency. ● See the online advertising industry from the consumer’s perspective and how it powers the Internet. About the Authors  Clearcode is a full-service AdTech and MarTech development company, led by Piotr Banaszczyk , CEO, and  Tomasz Chmielewski , COO. You can learn more about Clearcode here .",514,81,128.5
3,-6,"The AdTech Book has been contributed to and written by various team members of Clearcode , with the main  contributors being Maciej Zawadziński , Clearcode’s co-founder and CEO of Piwik PRO , and Michael Sweeney ,  Head of Marketing at Clearcode. This book is the result of Clearcode’s many years of experience in designing, developing, launching, and  maintaining advertising and marketing technologies for our clients. 1",422,69,105.5
4,-5,Table Of Contents  01. Introduction  02. Advertising basics  The Advertiser-Publisher Relationship  What is an Advertiser? Why Do Brands and Companies Advertise? What is a Publisher?,182,29,45.5
5,-5,What is Advertising Technology (AdTech)? Important Terms Explained  Chapter Conclusion  03. The History of Online Advertising Technology  Advertising Moves Online  04. The Main Technology Platforms and Intermediaries in the Online Display Advertising Ecosystem  Advertisers – The Buy Side  Intermediaries  The Sell Side (Publisher)  How AdTech Companies Make Money  The Walled Gardens  Standardization in the Ecosystem  05. The Main Digital Advertising Mediums and Channels  Advertising Mediums  Advertising Channels  06.,521,82,130.25
6,-5,Ad Serving  What Is an Ad Server? Campaign Execution Using an Ad Server: Then and Now  How Does an Ad Server Work? First-Party vs. Third-Party Ad Servers: A Simple Comparison  Technical Zone  How Ad Serving Works From a Technical Perspective  The Anatomy of an Ad Server  Chapter Summary  07. Ad Targeting and Budget Control  Contextual Targeting  Keywords  Ad Slot and Ad Position  Publisher’s URL  Domain  Section and URLs  2,427,83,106.75
7,-4,"IP and Geolocation  Browser Type, Operating System and Device Type  IAB Content Taxonomy  Day of Week and Time of Day  Behavioral Targeting  Retargeting  Demographic  Controlling a Campaign’s Budget  Chapter Summary  08. Tracking and Reporting Impressions, Clicks, and Conversions in AdTech Platforms  Impression, Click, and Conversion Tracking  Reporting  Chapter Summary  09. Media-Buying Methods: Programmatic, Real-Time Bidding (RTB), Header Bidding, and PMP  The Main Media-Buying Processes  Manual Media Buying  Programmatic Media Buying  Programmatic Direct  Real-Time Bidding (RTB)  How Does RTB Work? Private Marketplace (PMP)  A Comparison Table of the Above Media-Buying Processes  The Publisher’s Waterfall  Header Bidding  Waterfall vs. Header Bidding: Benefits and Drawbacks  Auction Dynamics: First- and Second-Price Auctions and Hard and Soft Floor Prices  Second-Price Auctions (2PA)  First-Price Auctions (1PA)  Chapter Summary  10. User Identification  Why Do We Need to Identify Users?",1005,161,251.25
8,-4,"Different User-Identification Methods  Web Browsers  Cookies  Device Fingerprinting  HTML5 Local Storage  ETags  Evercookies  How Different Web Browsers Handle Cookies, Device Fingerprints and Local Storage  Mobile Devices  Mobile Web Browsers  Mobile Apps (In-App)  3",268,44,67.0
9,-3,"Cookies  Advertising IDs  Open Device Identification Number (ODIN)  User Profile Matching  Deterministic and Probabilistic Matching  What Are Deterministic and Probabilistic Matching Used For? The Main Challenges With Identifying Users on Web Browser and Mobile Apps  Solutions to the Identity Problem  How Do These ID Solutions Work? ID and Device Graphs  How Do ID Graphs Work? The Challenges Facing These ID Solutions  The Future of User Identification in Web Browsers and Mobile Apps  11. Data Management Platforms (DMPs) & Data Usage  The Different Types Of Data: First-Party, Second-Party, And Third-Party Data  First-Party Data  Second-Party Data  Third-Party Data  A Comparison Of The Value Of First-, Second-, And Third-Party Data  Where Is Data Obtained?",764,127,191.0
