,page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,file_name
0,3,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:Introduction to Algorithmic Marketing by Ilya Katsov ISBN 978-0-692-98904-3 Copyright © 2018 Ilya Katsov All rights reserved. No part of this book may be reproduced in any form by any electronic or mechanical means (including photocopying, recording, or information storage and retrieval) without permission in writing from the copyright holder.",345,50,86.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
1,4,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:v “At a time when power is shifting to consumers, while brands and retailers are grasping for ﬂeeting moments of attention, everyone is competing on data and the ability to leverage it at scale to target, acquire, and retain customers. This book is a manual for doing just that. Both marketing practitioners and technology providers will ﬁnd this book very useful in guiding them through the marketing value chain and how to fully digitize it. A comprehensive and indispensable reference for anyone undertaking the transformational journey towards algorithmic marketing.” —Ali Bouhouch, CTO, Sephora Americas “Introduction to Algorithmic Marketing isn’t just about machine learning and economic modeling.",704,106,176.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
2,4,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:It’s ultimately a framework for running business and marketing operations in the AI economy.” —Kyle McKiou, Sr. Director of Data Science, The Marketing Store “Its all possible now. This book brings practicality to concepts that just a few years ago would have been dismissed as mere theory. It features principled framing that captures what the best marketers innately feel but cannot express.",393,62,98.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
3,4,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:Elegant math articulates the important relationships that are so elusive to tra- ditional business modeling. The book is unapologetic for its lack of spreadsheet examples – much of the world can not be represented linearly in just a few dimensions and devoid of uncertainty. Instead, the book embraces rigorous framing that yields better insights into real phenomenon. It’s written neither for the data scientist nor the marketer, but rather for the two combined!Its this partnership between these two departments that will lead to real impact.",544,85,136.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
4,5,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:vi “This book is a live portrait of digital transformation in marketing. It shows how data science becomes an essential part of every marketing activity. The book details how data-driven approaches and smart algorithms result in deep automation of traditionally labor-intensive marketing tasks. Decision-making is getting not only better but much faster, and this is crucial in our ever- accelerating competitive environment. It is a must-read for both data scientists and marketing ofﬁcers–even better if they read it together.” —",531,80,132.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
5,5,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:Andrey Sebrant, Director of Strategic Marketing, Yandex “This books delivers a complete end-to-end blueprint on how to fully digitize your company’s marketing operations. Starting from a conceptual architecture for the future of digital marketing, it then delves into detailed analysis of best practices in each individual area of marketing operations. The book gives the executives, middle managers, and data scientists in your organization a set of concrete, actionable, and incremental recommendations on how to build better insights and decisions, starting today, one step at a time.” —Victoria Livschitz, founder and CTO, Grid Dynamics “This book provides a much-needed collection of recipes for marketing prac- titioners on how to use advanced methods of machine learning and data science to understand customer behavior, personalize product offerings, optimize the incentives, and control the engagement – thus creating a new generation of data-driven analytic platform for marketing systems.” —Kira Makagon, Chief Innovation Ofﬁcer, RingCentral; serial entrepreneur, founder of RedAril and Octane",1104,157,276.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
6,6,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:vii “While virtually every business manager today grasps the conceptual importance of data analytics and machine learning, the challenge of imple- menting actual competitive solutions rooted in data science remains quite daunting. The scarcity of data scientist talent, combined with the difﬁculty of adapting academic models, generic open-source software and algorithms to industry-speciﬁc contexts are among the difﬁculties confronting digital marketers around the world. This book by Ilya Katsov draws from the deep domain expertise he developed at Grid Dynamics in delivering innovative, yet practical digital marketing solutions to large organizations and helping them successfully compete, remain relevant, and adapt in the new age of data analytics.” —Eric Benhamou, founder and General Partner, Benhamou Global Ventures; former CEO and Chairman of 3Com and Palm",869,124,217.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
7,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:C O N T E N T S 1 introduction 1 1.1 The Subject of Algorithmic Marketing . . . . . . . . . . .2 1.2 The Deﬁnition of Algorithmic Marketing . . . . . . . . . .4 1.3 Historical Backgrounds and Context . . . . . . . . . . . .5 1.3.1 Online Advertising: Services and Exchanges . . . . .5 1.3.2 Airlines: Revenue Management . . . . . . . . . . . . .,345,89,86.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
8,8,"adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:7 1.3.3 Marketing Science . . . . . . . . . . . . . . . . . . . . .10 1.4 Programmatic Services . . . . . . . . . . . . . . . . . . . .11 1.5 Who Should Read This Book? . . . . . . . . . . . . . . . .15 1.6 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .16 2 review of predictive modeling 19 2.1 Descriptive, Predictive, and Prescriptive Analytics . . . .",371,116,92.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
9,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:19 2.2 Economic Optimization . . . . . . . . . . . . . . . . . . . .20 2.3 Machine Learning . . . . . . . . . . . . . . . . . . . . . . .23 2.4 Supervised Learning . . . . . . . . . . . . . . . . . . . . . .25 2.4.1 Parametric and Nonparametric Models . . . . . . . .26 2.4.2 Maximum Likelihood Estimation . . . . . . . . . . . .,329,104,82.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
